SL,EEG,BP,HR,CIRCULATION,ACTIVITY
2185.84,-1102.23,20,54,165,2
4171.25,-1553.91,127,88,318,2
81882.7,-6420,72,272,3539,4
37430,-2665,30,147,1210,0
36888.7,-4030,42,196,1997,3
472677,-10300,53,483,15505,3
93126,-9233,53,290,3803,0
12151.3,-2575.07,42,130,694,5
9212.98,-2833.02,24,138,554,2
17239.7,-4269.84,32,183,931,1
13062,-2274,35,152,762,0
30508.1,-3192.26,116,171,1747,5
70195,-5608.77,45,262,3211,5
161357,-7747.97,72,352,6744,2
279173,-10124.5,68,468,9276,5
274472,-9066,76,391,8730,0
142606,-6197.34,174,308,6057,3
160473,-9180,89,388,6290,3
24569.2,-3125.09,33,157,1519,4
104518,-8010,37,312,4345,0
1391.76,-819268,29,52,133,4
48080,-3344,37,250,2256,0
9009.8,-1100,31,102,516,4
30500.2,-3205.04,122,171,1747,5
29450,-5413,159,198,1369,0
1960.09,-1061.84,5,63,166,3
20592,-3601,127,148,1022,0
409666,-8590,60,473,14125,3
1755.06,-1466.36,16,76,147,5
69093.3,-5244.66,147,247,3373,1
32369,-3867,84,174,1631,0
11195.1,-1708.97,59,92,551,0
37541.1,-3607.71,51,180,2054,5
36353.2,-4610,43,196,1997,5
51926.9,-3790,15,216,2677,3
10845.4,-1890.38,19,102,764,4
124305,-9160,66,327,4632,0
248500,-12500,98,537,8350,3
199813,-10447,61,408,6413,0
109300,-6920,49,322,4619,4
67957.2,-5376.51,142,247,3373,1
78135,-5349,59,242,3705,0
187705,-8758,52,369,7467,0
16119,-5214,72,174,854,0
85268,-2710,25,220,3450,3
90473.1,-5410,55,254,3885,3
9521.81,-961,25,102,516,5
4222.67,-1435.6,126,88,318,3
79194,-6063,33,265,3138,0
10247.8,-2530,16,109,689,3
20211,-3534.3,83,163,1162,4
58048,-5589,74,255,2754,0
182069,-4710,69,403,6746,4
61793.7,-5690,32,247,2754,3
36051.7,-4360,43,196,1997,5
2373.87,-853472,24,54,165,5
90423,-6120,52,254,3885,3
59228.5,-5680,16,215,2188,4
26351,-2560,32,156,1364,3
81125.1,-4320,74,272,3539,4
260554,-9340,94,537,8350,3
95644.6,-5650.1,43,294,4249,5
49647.6,-4020,16,216,2677,3
80553.6,-7183.69,68,320,3466,5
110762,-5840,34,322,4619,3
40374.7,-4030,31,234,1581,2
7136.33,-1677.37,49,93,545,4
50617.4,-2860,36,223,2059,3
109827,-2470,43,235,4905,4
1443.9,-998054,42,52,133,2
106705,-7445,57,319,4157,0
39373.8,-3960.88,25,193,2118,4
1809.09,-1475.83,22,76,147,5
3028.91,-1182.64,36,71,249,2
28352.3,-699,41,166,1111,3
78990,-4211,35,228,2978,0
38391.9,-2370,16,196,1885,3
51901,-701,6,33,5,2
9547,-1915,13,116,580,0
91964,-5394,33,275,4062,0
248000,-10693,344,503,8097,0
16579,-3321,41,151,851,0
408618,-9880,64,473,14125,3
34473.9,-4550.5,123,208,1691,4
37734.6,-4253.62,115,205,1751,3
4283.12,-1390,14,88,292,1
254585,-8990,100,537,8350,4
172087,-9217,198,365,6855,0
43205,-4646,70,188,1927,0
25534.5,-362139,85,157,1519,3
158532,-10176,79,400,6294,0
472302,-8440,50,483,15505,2
4319,-2123,15,98,271,0
10097,-2440,39,154,587,2
53258.2,-3710,24,216,2677,4
39284.5,-296,45,234,1581,2
672431,-1039.43,20,63,41,0
52971.4,-3160,21,188,2599,4
55690.4,-2400,67,224,2192,4
133254,-6165,60,347,5528,0
6428.13,-2273.67,25,108,428,2
28656,-3032,11,141,1259,0
174548,-8668,83,364,7099,0
68941,-4023,22,247,3129,0
10292.9,-1810,36,154,587,3
80738.7,-4760,66,272,3539,4
7406.38,-1514.54,22,93,545,3
13700.9,-2862.3,25,148,729,4
20866,-4007,105,151,1260,0
35444.2,56000,28,234,1581,3
23211,-3569,23,171,1062,0
475231,-11300,45,483,15505,3
10601,-3291,100,116,691,0
12332.3,-2371.03,75,128,693,3
87069,-6351,48,293,4245,0
10771.7,-1809.52,14,102,764,5
39099.8,-4097.29,122,205,1751,3
4220.37,-1150,19,88,292,1
9604.42,-2873.78,30,138,554,4
468861,-10019,101,442,12979,0
28286,-2290,22,194,1521,4
12297.2,-2343.48,79,128,693,2
86241.9,-3030,17,220,3450,4
46072.6,-5779.76,64,273,2061,3
1450.76,-1001.85,41,52,133,2
151956,-7745,57,288,3975,0
7771,-2869,55,92,369,0
37516,-4226,38,208,1692,0
11465.8,-2996.51,43,156,654,4
112461,-4560,44,235,4905,2
1114,-289,11,35,83,0
142002,-5000,54,315,5844,4
38774.8,-3722.78,52,180,2054,4
297001,-10274,98,459,10388,0
160923,-13000,85,388,6290,3
11444.1,-3152.74,29,156,654,4
31612,-5147,49,220,1527,0
140037,-12013,59,386,5637,0
115857,-6100,57,271,4426,2
13457.1,-2942.57,23,148,729,4
143407,-6137.97,157,308,6057,4
10831,-2813,99,118,727,0
4106.79,-1544.74,130,88,318,2
110456,-6500,34,322,4619,4
3035.11,-1250.32,49,67,224,3
1280.02,-713226,32,40,100,4
108146,-6670,49,322,4619,4
28589,-7243,24,177,1578,0
145017,-5908.45,132,308,6057,4
48297,-5090,21,216,2677,3
67813.3,-5851.79,148,247,3373,0
27822.6,-2828.17,95,156,1521,4
2335.96,-959356,44,51,132,2
9509.42,-3024.99,91,130,490,2
308333,-13330,79,423,10677,0
34345,-3926,27,187,1576,0
4030.59,-1430,30,88,292,3
4001.03,-2268.79,73,101,249,4
4039.06,-1227.41,19,72,340,5
27428,-2959.43,99,158,1403,3
250456,-9080,95,537,8350,3
279928,-9743.21,69,468,9276,5
30635.9,-3185.26,124,171,1747,5
109353,-6471,82,268,4716,0
37651.8,-3700.29,51,180,2054,5
2752.01,-964345,41,54,204,4
65829,-6335,43,301,2684,0
65274,-5029,149,222,2975,0
9537.41,-3090.16,24,138,554,3
44225.8,-3700,15,196,1885,4
66818.8,-3830,51,224,2192,4
4068.85,-2441.46,71,101,249,4
46376,-7824,209,257,2002,0
28214.6,-2831.38,100,158,1403,4
4939.4,-1160,20,85,343,1
25705.4,-3447.01,27,174,1415,4
68264.8,-5462.19,149,247,3373,1
12122.5,-2516.05,80,128,693,3
29589.7,-1950,29,156,1364,5
30387,-6239,89,221,1628,0
7135.37,-1654.13,52,93,545,4
51727,-6057,17,236,2608,0
4370.42,-1250,21,88,292,2
51393.9,-3860,40,234,2464,3
9088,-2269,33,121,549,0
112022,-9271,362,370,4350,0
242950,2380,71,537,8350,3
7750,-731,13,109,491,0
199084,-2450,48,390,7459,5
53288,-2668,88,169,1687,0
14242.2,-2533.89,82,120,809,4
27563.5,-1670,29,194,1521,4
73569.4,-3730,24,249,3630,2
4904.25,-665,21,85,343,1
267608,-11800,61,540,8870,5
72612.5,-5511.41,47,262,3211,5
3134.08,-1231.79,36,71,249,3
476200,-12700,81,483,15505,3
12598,-2048,14,117,767,0
515804,-11542,143,540,18067,4
100700,-9290,58,324,4432,0
51.4007,-554,96,33,5,4
17273.9,-3852.63,79,172,973,4
171382,-6950,106,449,5537,2
12200.9,-2263.46,82,136,619,4
87103.4,-3220,17,220,3450,3
80795,-6727,42,284,3544,0
195772,-7900,49,390,7459,4
486819,-12255,63,534,17510,0
4225.54,-1358.82,12,72,340,5
12063.7,-2500.42,69,128,693,3
50.7617,-757,6,33,5,1
39334.8,-2520,20,196,1885,3
5351.34,-2178.84,64,107,346,3
196454,-4680,84,403,6746,4
242652,-10345,78,437,8345,0
4330.73,1040,22,88,292,3
2013.43,-1086.75,6,63,166,3
56691,-5412,51,219,2679,0
32861.6,-3929.94,86,176,1922,0
2230.07,-1416.91,13,82,185,4
48781,-3566,47,189,2119,0
685978,-19624,82,644,21043,0
55874.7,-3140,67,224,2192,4
52002.4,-2640,41,188,2599,3
73674.2,-3170,22,249,3630,2
64261,-5617,76,277,3054,0
138639,-4400,45,315,5844,4
2162.41,-988965,30,54,165,2
51137.7,-3720,36,234,2464,3
50103.5,648,43,188,2599,4
3326,-1675,13,89,248,0
26644.7,-2240,27,156,1364,3
1838,-1423,6,81,147,0
9822.56,-2396.46,17,123,621,4
4440.84,-2564.59,35,131,271,5
17501.4,-3834.34,74,172,973,4
73999.7,-4710,30,249,3630,2
17025.3,-3675.96,76,172,973,3
35372.5,285,33,166,1111,3
34715,-4931,46,188,1522,0
183056,-13417,97,487,6868,0
17739.9,-3742.05,79,172,973,4
68774.8,-5111.68,147,247,3373,1
13608.9,-2898.4,12,148,729,4
71103.2,-5578.9,47,262,3211,5
57621.6,-3610,29,223,2822,5
57916.8,-4770,34,215,2188,3
12453,-1883,42,102,881,0
53075.4,-2940,35,188,2599,4
112279,-6750,44,322,4619,4
195217,-8660,51,390,7459,3
116061,-1620,38,235,4905,4
73530,-4460,30,249,3630,1
14244.3,-2295.94,88,120,809,4
43099,-5162,46,252,2192,0
11515,-2156.99,86,128,693,5
1936.56,-1056.74,4,63,166,3
38950.5,-1750,55,196,1885,3
30119.8,-3128.21,121,171,1747,5
2875.17,-1255.9,49,67,224,3
90423,-5367,51,251,3617,0
73446,-4480,25,249,3630,2
13417.1,-1596.23,18,96,804,2
142109,-6157.38,151,308,6057,4
13481.6,-1500.78,24,96,804,4
7229.19,-2010,162,109,486,4
24193.5,-1180,8,166,1111,3
289032,-11000,103,537,8350,4
29123.4,-3462.66,39,179,1626,5
144174,-6114.99,158,308,6057,4
265894,-12000,86,540,8870,3
32476.3,-3654.53,85,176,1922,3
139317,-10029,161,362,5742,0
3829.18,-1850,12,86,205,4
35974.7,-444,25,166,1111,3
6807,-1586,9,80,316,0
28739.7,-3461.06,32,179,1626,4
58710,-6646,15,193,2673,0
53338.5,-4440,51,234,2464,4
151759,-7160,76,449,5537,2
4211.54,-856,14,79,317,2
4330.74,-1224.57,9,72,340,4
58336.8,-2210,52,223,2822,4
162381,-7684.56,74,352,6744,2
4760.26,-1720,13,79,292,2
46529,-5768,37,232,2258,0
30552.1,-3186.14,108,171,1747,4
308639,-11645,73,424,8607,0
32918,-3564.95,78,176,1922,4
29615,-3379,45,185,1690,0
100745,-5567.3,158,281,4061,5
10343,-2838.92,84,130,490,5
308912,-11053,108,438,11122,0
308043,-8710,101,537,8350,3
4745.47,-1000,21,85,343,1
74190,-5107,38,218,3534,0
54.6222,-586,96,33,5,3
12143.8,-2531.88,85,128,693,2
467613,-13000,62,483,15505,2
5199.74,-2200,4,79,292,2
312346,-8441,174,431,9271,0
54519,-4101,20,206,2742,0
79060.6,-4340,36,272,3539,3
5978,-2976,22,150,377,0
4036.99,-2364.71,71,101,249,4
7074,-1933,18,110,455,0
16561,-3141,17,108,486,0
7979,-2636,7,96,485,0
35682.3,-4258.51,135,208,1691,4
233082,-11100,87,537,8350,3
26423,-2220,27,156,1364,3
181154,-8840,66,384,4725,0
32665,-3343,48,179,1693,0
71531,-5459,51,197,2965,0
1299.73,-829902,21,51,102,5
3489,-2526,18,81,204,0
274472,-9066,76,391,8730,0
9951.57,-2340,44,154,587,2
36199,-5038,106,192,1691,0
186612,-8862,190,360,6978,0
114047,-8734,251,333,4622,0
49316,-1690,33,166,1414,5
33691,-4399,35,193,1636,0
17089.8,-3917.21,69,172,973,4
14009.8,-2353.63,81,120,809,3
12079.4,-1841.5,13,105,765,2
2881.28,-1209.12,38,67,224,5
9658.6,-2794.42,20,138,554,4
490,-537,16,51,35,0
39412,-5475,77,198,2063,0
1464.02,-1001.47,38,52,133,2
11584.9,-2938.91,26,156,654,4
515113,-11528.3,146,540,18067,4
516670,-11607.8,139,540,18067,4
25518,-3394,28,150,1355,0
26161.5,-2936.92,96,156,1521,4
41083,-5391,56,194,1872,0
13184,-1516.58,19,96,804,2
38774.5,-3814.08,44,193,2118,3
49.9295,-322,8,33,5,1
160942,-7695.09,82,352,6744,2
4039.98,-2279.4,72,101,249,4
4137.19,-2389.9,69,101,249,4
13938.2,-2454.31,91,120,809,3
39382.8,-3993.8,116,205,1751,4
54961,-4459,6,146,2311,0
5064,-1445,25,115,135,0
2023,-1661,53,83,131,0
12985.1,-2583.19,32,132,806,4
336761,-12362,82,455,9276,0
140351,-6289.26,170,308,6057,3
35029.5,-4239.49,122,208,1691,4
583113,-14197,480,586,19428,0
53452.1,-3970,36,216,2677,3
31478,-3793,33,179,1638,0
142183,-6301.22,191,308,6057,3
4324.25,-1294.15,18,72,340,4
4110.33,-1461.83,19,72,340,4
50.8236,-459,6,33,5,1
29093.8,-2290,37,194,1521,5
94141,-9388,155,234,3456,0
27193.6,-2852.62,90,158,1403,4
58904.3,-2740,65,223,2822,4
5070.06,-1520,26,85,343,1
10659.3,-1836.72,19,102,764,5
12198.6,-3068.76,92,136,619,3
161650,-7650,78,388,6290,4
93459.5,-6260,71,254,3885,4
48185,-4343,120,213,2128,0
19010,-2080,56,130,1109,0
84853.8,-3250,24,220,3450,4
285566,-8779,24,364,6986,0
27646.8,-2540,26,156,1364,3
25230.3,-3000,35,166,1414,4
51486.3,-4554.61,110,209,2534,5
5467,-2075,8,104,343,0
4180.48,-1499.6,120,88,318,2
48716.7,-5760,35,216,2677,3
1449.95,-993.86,42,52,133,2
62568,-7574,221,272,2978,0
13252.9,-1571.11,20,96,804,2
53246,-9667,58,338,2004,0
82759,-6260,98,253,3976,0
4139.68,-1542.2,120,88,318,2
161663,-11800,65,388,6290,3
85304,-5407,57,273,3456,0
59520.7,-6651.72,157,305,2610,2
158007,-7007,64,335,5015,0
39557,-4979,23,184,1261,0
4273.08,-1300,11,79,317,2
90468.9,-5530,47,254,3885,3
278618,-11700,71,540,8870,4
5247.15,-2186.53,63,107,346,3
344133,-9400,101,462,11563,4
11087.7,-1891.9,12,102,764,4
10340.7,-3440,15,109,689,3
3283.31,-1166.05,36,71,249,3
13637.5,-2931.62,14,148,729,5
198080,-7237,85,336,7949,0
116093,-6273,55,373,4259,0
10487.3,-3080,16,109,689,3
4717.18,-2682.88,27,131,271,4
32688.4,-3364.45,72,176,1922,4
5338,-2290,9,78,345,0
32615.8,-3679.65,82,176,1922,4
55427.3,-2650,55,224,2192,4
60596,-4530,39,215,2188,4
13172.6,-1572.9,20,96,804,3
18713.6,-2230,32,168,772,4
335565,-9080,109,462,11563,4
51845.4,-2940,22,188,2599,3
160269,-9570,81,388,6290,3
4298.56,-1490,12,79,317,2
100830,-5998,33,236,4056,0
9313.85,-1816.14,67,107,517,4
59760.7,-2540,67,223,2822,5
60313.5,-4254.94,129,217,2904,3
50850.5,-3700,40,234,2464,2
12131.4,-2739.32,93,136,619,3
2839.08,-1199.06,47,67,224,2
50601.7,-4350,39,234,2464,3
21574,-5327,29,128,1065,0
13165.9,-1571.21,21,96,804,3
38005,-4203,57,209,1993,0
146924,-7630,92,449,5537,2
10196.1,-585315,0,130,490,4
95238,-6333.7,39,273,4429,0
26001.1,-3325.24,27,174,1415,4
25056.3,-2744.19,15,154,1252,3
28701.2,-3411.79,35,179,1626,4
61042.2,-4460,37,247,2754,4
4198.66,-1479.74,122,88,318,2
6004,-2014,11,85,342,0
26830.8,-2040,29,156,1364,3
30237.8,-3225.92,118,171,1747,5
47053.9,-5648.22,67,273,2061,4
413811,-6800,74,473,14125,4
74509,-3917,45,295,3065,0
84409,-6999,59,345,3468,0
480356,-11741,105,567,15869,0
2923.23,-1245.52,46,67,224,4
51.3076,-541,6,33,5,1
4748.25,-2808.39,25,131,271,5
58374.5,-5070,38,215,2188,3
51664.7,-3800,40,234,2464,3
98748.6,-5387.15,58,294,4249,5
28331,-6127,56,167,1309,0
49.5646,-378,96,33,5,4
4079,-1215,8,97,293,0
70216.3,-5579.75,46,262,3211,5
2165.78,-942749,21,54,165,2
10926,-2103.67,21,102,764,4
43273.5,-4891.24,29,229,2188,0
52711.7,-5902.22,53,288,2334,5
73661.9,-3190,37,249,3630,2
1455.16,-850.09,39,52,133,2
543358,-14115,114,708,16061,0
2886.85,-1179.23,53,67,224,3
16835.9,-4144.54,83,172,973,4
57523.4,-4557.2,134,217,2904,2
1227.88,-895.96,35,51,102,5
141412,-6162.47,175,308,6057,3
112670,-3190,46,235,4905,3
70266,-5889,61,257,3058,0
3421.63,-806284,50,51,132,2
2904.47,-1282.09,37,77,205,4
163537,-7323,65,331,6405,0
408184,-8180,62,473,14125,5
11458,-3167,73,122,728,0
8892.35,-1320,33,102,516,4
52975.6,-5914.08,49,288,2334,5
85208.2,-2300,23,220,3450,3
4304.58,-2770,13,86,205,2
2532.7,-1349.7,13,77,205,4
1208.93,-748.43,13,51,102,5
1486.75,-980101,42,52,133,2
4248.36,-1160,11,79,317,2
10171.5,-2100,37,154,587,2
46740,-6053,142,243,2195,0
4042.03,-2268.82,70,101,249,4
8021,-1961,18,112,484,0
6285,-1923,27,92,426,0
4176.32,-1554,126,88,318,2
7674.6,-1766.02,70,104,457,2
141829,-5680,57,315,5844,3
169649,-10645,67,408,5856,0
1364.82,-601188,30,40,100,3
8913.33,-1030,24,102,516,5
28716,-6073,25,167,1310,0
49.4221,-310,6,33,5,1
30532.8,-3423.94,129,171,1747,5
1162880,-25291,198,944,31312,0
21417.2,-2945.37,80,145,1156,4
142111,-4460,53,315,5844,4
34582,-4412.76,134,208,1691,4
27700.3,-2797.86,85,158,1403,4
8818.23,-1839.07,71,107,517,4
58879,-4794,33,260,2537,0
135599,-5460,100,449,5537,3
107212,-6402,62,283,4527,0
8475,-5110,17,135,546,0
24725,-3295.21,35,157,1519,4
24449.2,-1850,16,166,1111,5
42989,-3849,34,212,2060,0
13559.8,-2900.71,18,148,729,3
1574.45,-684951,10,76,147,4
3513,-3010,7,77,167,0
21114.1,-2915.48,72,145,1156,3
145229,-8708,79,358,5429,0
4300.51,-1870,22,85,343,2
59245,-6844,198,293,2690,0
45545,-6974,187,231,2127,0
7559.43,-1862.81,75,104,457,2
49812.2,-5010,16,216,2677,3
9320.97,-3073.24,24,138,554,2
9825,-4439,32,142,589,0
11293.1,-3070.74,33,156,654,4
143799,-5930.87,176,308,6057,4
1456.33,-1026.6,35,52,133,4
28330.5,-3220,20,166,1414,3
4232.2,-1410,14,88,292,1
20197.7,-3472.72,80,163,1162,2
258932,-10508,130,355,9401,0
79655,-7009.84,74,320,3466,5
7684.12,-1913.96,77,104,457,2
38730.2,-3790,25,234,1581,2
25341.2,-3162.87,29,157,1519,2
36457.7,-3800,43,196,1997,5
4071.82,-2273.05,70,101,249,4
7521.89,-1830.41,75,104,457,2
160687,-11300,77,388,6290,4
2140.74,-1039.32,20,54,165,2
106208,-8473,7,237,2329,0
146869,-8371,183,306,5628,0
12003.1,-2492.86,83,128,693,2
244621,-11100,80,540,8870,3
48716.6,-5960,35,216,2677,4
356720,-16381,50,511,12358,0
4005.01,-2281.25,69,101,249,4
9530.18,-2977.77,97,130,490,2
45125.1,-5876.68,44,273,2061,4
14132.6,-2436.31,82,120,809,3
25767.6,-3341.91,30,174,1415,4
51907,-5767.12,76,288,2334,5
12063.5,-2551.77,86,128,693,2
178753,-5960,68,403,6746,3
4558.65,-2733.64,32,131,271,5
115994,-5340,53,271,4426,3
28657.4,-3100,36,156,1364,4
10218,-3462,37,161,659,0
52085.4,-2980,52,224,2192,5
104447,-10892,75,404,4442,0
1947.26,-1046.33,6,63,166,3
70442,-5428,187,242,3209,0
39413.5,-3230,20,196,1885,3
90974,-8292,12,229,2755,0
11705.6,-2692.31,84,128,693,3
4242.41,-626,10,79,317,2
58910,-6963,52,206,2261,0
26639.7,-3349.2,24,174,1415,4
240262,-9780,84,537,8350,3
54894,-5631,69,222,2672,0
29886.5,-3293.33,120,171,1747,4
2764.08,-1197.95,40,67,224,4
38811.3,-3842.38,28,193,2118,4
69383,-5859,29,263,2902,0
13479.6,-2929.17,23,148,729,4
10214.4,-3180,11,109,689,2
53700,-5120,58,224,2192,2
4953.44,-1950,6,79,292,3
48580.6,-3550,46,215,2188,5
4095.29,-2340,14,79,292,4
55212.6,-3890,19,216,2677,4
278596,-8857.49,67,468,9276,5
51298,-547,6,33,5,1
175870,-6280,77,403,6746,4
16944.7,-2808.13,75,142,844,3
2198.42,-1162.25,20,54,165,2
20884.9,-3361.69,92,163,1162,4
11900.9,-2671.55,83,136,619,4
113522,-6410,40,322,4619,5
37830,-3861.83,42,180,2054,5
39669.5,-3823.78,64,193,2118,4
38621.7,-3960.21,40,193,2118,5
59759.2,-5080,34,215,2188,3
48868,-725,6,33,5,3
202504,-9091,87,432,7464,0
32816.9,-611,33,166,1111,4
1457.8,-965802,39,52,133,2
71498.5,-4160,29,249,3630,3
4472.03,-945,17,88,292,2
144925,-7440.36,181,362,5847,4
64.9878,-474,96,33,5,4
244520,-9490,89,416,7955,0
30429.3,-3292.07,112,171,1747,5
71747.1,-142479,47,247,3373,2
56339.9,-4600,49,224,2192,3
1949.45,-1061.64,5,63,166,3
161033,-7750,92,388,6290,4
115876,-4500,46,235,4905,2
410299,-10300,59,473,14125,2
10275.7,-2350.11,26,123,621,4
2168.43,-1123.46,20,54,165,2
3953,-1684,19,87,273,0
81278.4,-2770,53,223,2059,3
16504,-3182,20,148,931,0
4298.49,-1210.64,16,72,340,5
27433.4,-2892.58,117,158,1403,3
5899,-832,10,81,396,0
3095.86,-1273.33,48,67,224,3
174330,-8460,93,449,5537,2
4754.03,-2650,11,86,205,1
16635.6,-4549.41,34,183,931,0
7042.01,-1685.32,46,93,545,4
160322,-9120,94,388,6290,3
37995.3,-4202.73,130,205,1751,2
10206,-3216,16,104,651,0
28538.2,-2240,23,194,1521,4
11325.4,-2145.15,26,156,654,4
157976,-5479,52,332,6280,0
39975,-5565,14,184,2057,0
15664.9,-2692.36,66,134,970,4
89638,-6244,76,279,3796,0
34499.5,-3560.29,85,176,1922,4
37477.7,-4136.9,128,205,1751,2
61153.4,-5330,36,247,2754,4
8344,-3229,33,153,491,0
3275.1,-1162.51,29,71,249,4
206684,-9240,89,339,7700,0
3234.45,-1242.38,34,71,249,4
4351.44,-1850,14,79,317,2
65022.7,545,65,223,2822,4
3236.46,-1149.18,28,71,249,4
2266.85,-1128.56,22,54,165,2
37143.5,-1010,36,166,1111,4
64979.7,-4910,39,215,2188,3
12213.2,-2661.31,96,136,619,3
477802,-10300,52,483,15505,5
243401,-9400,104,537,8350,3
1352090,-19150,506,943,29097,0
12180,-2559.42,82,128,693,3
31246.2,-2040,28,166,1414,4
9767.04,-2823.42,21,138,554,4
24920.5,-2760,22,166,1111,3
16149,-2614,18,155,845,0
77173.6,-6861.68,102,320,3466,5
192036,-9131,104,327,7097,0
4281.03,-1200,11,79,317,2
48.5016,-272,6,33,5,2
34464.3,-4536.68,130,208,1691,4
25190.3,-1600,20,166,1111,4
12798,-2852.33,16,132,806,4
116317,-4170,57,271,4426,3
3247,-783,11,86,246,0
10336.7,-2790,16,109,689,3
139146,-3790,105,449,5537,2
46598.5,-5727.12,59,273,2061,5
174336,-8879,84,446,5542,0
2184.45,-1072.34,20,54,165,2
39729.5,-2940,21,196,1885,3
1498.1,-621356,32,40,100,3
73778.1,-3450,26,249,3630,2
122882,-6483,143,306,4913,0
54648.1,-5100,34,215,2188,3
30281.7,-3256.21,115,171,1747,5
4725.64,-2572.56,29,131,271,5
33159.5,-3458.32,85,176,1922,4
7096.74,-1595.96,45,93,545,4
25214,-4294,44,200,1313,0
87327.7,-2200,20,220,3450,4
27591.9,-2370,26,166,1414,3
10051.7,-2964.49,29,138,554,4
53513,-5200,38,215,2188,3
37931.1,-4152.45,129,205,1751,3
7077.36,-1635.09,48,93,545,4
13101.3,-1608.46,17,96,804,2
216648,-4800,76,403,6746,5
7542.96,-1786.1,71,104,457,2
17785,-1714,112,142,1018,0
4647.46,-2420,11,86,205,1
33993.7,-4464.24,124,208,1691,4
458602,-13100,51,483,15505,4
14129.7,-2123.69,95,120,809,3
43591.3,-2010,26,166,1414,4
26262.6,-3431.64,27,174,1415,4
24451.6,-894,15,166,1111,3
7633.71,-1791.5,73,104,457,2
11116.3,-1957.64,17,102,764,4
13970.5,-2520.41,88,120,809,3
2178.06,-1142.26,20,54,165,2
37407.3,-4297.39,107,205,1751,3
39569.7,-3868.43,54,193,2118,4
135773,-7849,102,326,5322,0
51522.4,-4690,47,234,2464,3
36638.1,-1860,43,234,1581,3
17699,-3108,31,159,938,0
12236,-2798,49,123,691,0
32144.8,-3431.89,87,176,1922,3
4176.48,-1559.42,120,88,318,2
1453.87,-604863,33,40,100,4
28003.6,-3370,23,194,1521,4
27020.4,-1610,27,156,1364,2
39391,-3918.56,32,193,2118,4
1463.94,-598108,27,40,100,4
2150.99,-574909,4,43,161,5
26169.5,-2820,35,156,1364,2
10638.9,-3123.84,98,139,587,0
7084.01,-1609.15,38,93,545,3
7517.29,-1975.54,75,104,457,2
13376.8,-1497.76,30,96,804,3
124352,-10921,92,424,5029,0
202458,-10895,87,470,6758,0
41917,-4555,45,187,2379,0
4146.34,-1130,11,79,317,2
164360,-7423.26,71,352,6744,2
4356.07,-591,14,88,292,1
35318.8,-4530.01,125,208,1691,4
2221.86,-1436.95,27,82,185,5
90425.9,-4600,40,254,3885,3
9512.21,-3057.16,100,130,490,2
64547,-6935,34,243,3052,0
68725,-5261,323,298,3055,0
56984,-7185,18,221,1527,0
115550,-4670,55,271,4426,2
3289.79,-1194.93,36,71,249,3
1424.63,-956551,37,52,133,2
14515.9,-2339.73,80,120,809,5
33079.8,-870,30,166,1111,4
7083.26,-1550.51,35,93,545,3
26548.4,-1910,21,166,1414,3
142388,-6182.87,176,308,6057,4
38231,-5587,42,189,1805,0
10991.8,-2952.18,27,156,654,4
198143,-9120,53,390,7459,5
39209.7,-3855.98,24,193,2118,4
81612,-9219,200,298,2744,0
9302.43,-3042.4,14,138,554,2
12074.9,-2578.49,78,136,619,4
34002,-3828,27,175,1577,0
115028,-3170,32,235,4905,2
60845.5,-6558.37,141,305,2610,3
6704,-2342,1,66,206,0
71.5619,-227,6,33,5,4
56460.3,-2480,65,223,2059,2
162490,-9730,86,388,6290,3
85805.8,-2860,22,220,3450,3
411174,-8960,69,473,14125,2
181451,-10000,103,449,5537,2
141379,-6181.32,178,308,6057,3
12001.3,-2525.47,87,128,693,2
58192.2,-2580,52,224,2192,4
480762,-17236,90,553,15691,0
3116,-687,18,70,247,0
73577.8,-4510,23,249,3630,1
4296.47,-720,11,79,317,2
12202.1,-2602.82,87,136,619,4
16949.5,-2742.38,79,142,844,3
16360,-4554,24,120,803,0
160934,-2670,78,388,6290,3
183639,-9220,65,403,6746,4
4306.98,-1530,11,79,317,2
17378.6,-4213.5,33,183,931,1
7145.14,-1667.79,53,93,545,4
3480.37,-792735,46,51,132,2
715495,-10837,137,688,16970,0
168422,-5754,247,294,6505,0
29998.4,-2102.77,26,132,1513,4
259979,-10500,70,540,8870,4
137532,-3550,61,315,5844,3
293877,-8702,241,402,11270,0
13976,-1991.76,95,120,809,4
243380,-6760,92,537,8350,4
145690,-6140.1,141,362,5847,3
145039,-7551.14,191,362,5847,4
116520,-5350,58,271,4426,2
268919,-14100,87,540,8870,3
93355.1,-4850,45,254,3885,3
13539.3,-2935.16,19,148,729,3
27531.4,-2430,38,156,1364,3
142726,-8163,239,371,5742,0
52404.5,-6003.56,50,288,2334,4
279655,-9700,85,540,8870,4
3034.78,-1305.1,50,67,224,5
138618,-6710,38,315,5844,2
63953,-7046,11,220,2395,0
143345,-9268,51,360,5745,0
12020.6,-2599.1,85,128,693,2
52308.3,-2860,29,188,2599,3
73818.7,-4090,22,249,3630,2
25600.8,-3399.21,22,174,1415,4
9002.88,-1110,22,102,516,5
3498.6,-790054,49,51,132,3
5127.93,-1050,21,85,343,1
145538,-6331.85,162,308,6057,3
9364.31,-3135.76,15,138,554,3
11451,-3473,35,122,730,0
167941,-8189,61,352,6518,0
4327.51,-685,17,88,292,2
27756,-2700,35,194,1521,4
54138,-7100,30,254,2681,0
